time,open,high,low,close,Volume
1758492000,3684.78,3687.91,3683.81,3687.54,1075
1758492300,3687.69,3687.69,3683.66,3687.18,1146
1758492600,3687.16,3688.01,3685.51,3687.92,1129
1758492900,3688.07,3688.54,3685.95,3686.86,967
1758493200,3686.82,3691.07,3686.75,3691.05,913
1758493500,3691.03,3692.11,3690.75,3691.26,919
1758493800,3691.22,3691.26,3689.63,3690.78,790
1758494100,3690.88,3690.88,3689.64,3689.78,828
1758494400,3689.68,3691.11,3689.04,3690.63,829
1758494700,3690.72,3691.13,3688.45,3688.7,1032
1758495000,3688.71,3689.41,3688.49,3688.67,1046
1758495300,3688.71,3688.91,3687.53,3688.4,1008
1758495600,3688.42,3688.87,3687.06,3688.52,1083
1758495900,3688.53,3689.26,3686.83,3687.28,1236
1758496200,3687.28,3687.35,3686.39,3686.99,776
1758496500,3687.06,3688.35,3686.55,3688.18,632
1758496800,3688.17,3690.29,3687.9,3690.23,954
1758497100,3690.29,3690.5,3689.39,3689.44,760
1758497400,3689.47,3689.84,3687.41,3688.72,1040
1758497700,3688.76,3688.76,3687.71,3688.5,987
1758498000,3688.47,3688.67,3686.38,3686.44,1104
1758498300,3686.45,3687.91,3686.16,3687.08,1485
1758498600,3687.06,3687.66,3686.08,3686.36,1395
1758498900,3686.37,3687.07,3685.74,3686.23,1347
1758499200,3686.01,3688.21,3685.84,3687.16,1517
1758499500,3687.14,3688.2,3685.76,3686.28,1337
1758499800,3686.39,3690.75,3686.25,3690.58,1536
1758500100,3690.57,3690.84,3689.39,3689.76,1322
1758500400,3689.81,3690.35,3688.01,3688.07,1337
1758500700,3688.03,3689.96,3687.7,3689.58,1077
1758501000,3689.59,3690.67,3688.88,3688.88,1013
1758501300,3688.89,3690.73,3688.89,3689.87,897
1758501600,3689.98,3690.16,3688.98,3689.53,1051
1758501900,3689.53,3689.82,3688.94,3689.03,834
1758502200,3689.08,3689.55,3687.71,3688.76,1655
1758502500,3688.76,3691.07,3687.49,3690.94,1475
1758502800,3690.92,3693.78,3688.56,3689.16,2293
1758503100,3689.07,3692.75,3686.78,3692.58,1962
1758503400,3692.64,3695.36,3692.49,3694.61,2043
1758503700,3694.7,3696.72,3692.04,3692.95,1890
1758504000,3692.88,3694.38,3692.27,3693.19,1776
1758504300,3693.31,3694.02,3689.66,3690.04,1759
1758504600,3689.83,3693.34,3688.75,3691.79,1770
1758504900,3691.81,3692.99,3689.35,3690.2,1618
1758505200,3690.12,3691.03,3687.98,3688.38,1810
1758505500,3688.39,3690.57,3687.28,3687.73,1563
1758505800,3687.73,3689.52,3686.69,3687.46,1755
1758506100,3687.89,3690.23,3687.8,3689.47,1933
1758506400,3689.38,3690.96,3688.27,3690.08,1439
1758506700,3690.05,3691.4,3687.32,3689.62,1519
1758507000,3689.58,3690.67,3687.5,3688.46,1219
1758507300,3688.5,3689.67,3687.89,3689.04,1110
1758507600,3688.94,3689.46,3688.24,3689.45,758
1758507900,3689.49,3691.6,3689.49,3691.59,961
1758508200,3691.55,3693.41,3689.06,3689.06,1579
1758508500,3689.08,3689.26,3686.98,3687.95,1813
1758508800,3687.95,3688.78,3686.28,3686.83,1480
1758509100,3686.94,3688.21,3685.51,3687.66,1653
1758509400,3687.65,3688.96,3687.49,3687.63,1416
1758509700,3687.68,3687.77,3686.39,3686.53,1326
1758510000,3686.52,3689.61,3686,3689.3,1572
1758510300,3689.32,3690.42,3688.98,3689.35,1287
1758510600,3689.35,3690.46,3688.87,3690.12,1248
1758510900,3690.09,3691.25,3689.1,3689.7,1704
1758511200,3689.7,3691.98,3688.87,3691.5,1579
1758511500,3691.51,3692.34,3690.88,3691.53,1573
1758511800,3691.51,3691.95,3691.04,3691.51,863
1758512100,3691.53,3694.65,3691.25,3693.44,1225
1758512400,3693.44,3695.27,3693.38,3695.08,1377
1758512700,3695.07,3697.25,3694.66,3696.41,1520
1758513000,3696.41,3697.42,3696.38,3696.45,1216
1758513300,3696.45,3696.67,3694.97,3695.43,1062
1758513600,3695.41,3695.95,3694.1,3694.39,1213
1758513900,3694.39,3694.47,3692.82,3693.12,1091
1758514200,3693.14,3693.2,3691.73,3692.36,1005
1758514500,3692.36,3692.55,3691.58,3692.02,863
1758514800,3692,3692.31,3690.56,3690.72,925
1758515100,3690.68,3691.93,3690.68,3691.35,843
1758515400,3691.41,3692.36,3691.08,3692.09,678
1758515700,3692.09,3692.41,3690.01,3691.07,1078
1758516000,3691.07,3691.72,3691,3691.33,609
1758516300,3691.43,3692.62,3691.03,3691.87,645
1758516600,3691.88,3692.15,3691.2,3692.1,677
1758516900,3692.09,3692.68,3691.94,3692.17,568
1758517200,3692.19,3693.32,3691.97,3693.04,695
1758517500,3693.05,3694.17,3692.29,3693.08,1218
1758517800,3693.09,3694.27,3693.08,3693.93,1088
1758518100,3693.93,3696.81,3693.92,3696.05,1262
1758518400,3696.06,3697.69,3695.87,3697.43,1300
1758518700,3697.45,3697.88,3695.95,3696.19,1406
1758519000,3696.2,3698.84,3696.02,3698.61,1736
1758519300,3698.62,3698.91,3697.04,3697.93,1696
1758519600,3697.94,3699.46,3697.86,3698.33,1539
1758519900,3698.31,3698.95,3697.45,3698.56,1488
1758520200,3698.62,3700.23,3696.5,3698.32,1552
1758520500,3698.32,3698.76,3696.31,3697,1568
1758520800,3697,3698.75,3696.82,3696.86,1548
1758521100,3696.83,3700.65,3695.6,3699.74,1775
1758521400,3699.75,3700.89,3699.21,3700.63,1493
1758521700,3700.45,3700.99,3699.93,3700.58,1614
1758522000,3700.66,3702.59,3700.62,3702.21,1678
1758522300,3702.1,3706.46,3702.09,3706.24,1878
1758522600,3706.31,3709.47,3704.87,3708.7,1802
1758522900,3708.94,3714.35,3707.75,3713.32,2147
1758523200,3713.19,3717.32,3711.7,3717.1,2148
1758523500,3717.06,3719.96,3715.16,3719.67,2025
1758523800,3719.63,3719.8,3714.6,3714.6,1986
1758524100,3714.65,3716.58,3713.07,3714.37,2067
1758524400,3714.24,3714.72,3712.39,3713.97,1720
1758524700,3713.98,3714.76,3711.93,3712.42,1583
1758525000,3712.43,3712.43,3709.69,3711.6,1772
1758525300,3711.55,3712.58,3709.97,3711.24,1648
1758525600,3711.21,3711.4,3708.67,3709.6,1775
1758525900,3709.61,3713.83,3709.21,3713.59,1765
1758526200,3713.58,3716.43,3712.88,3713.67,1829
1758526500,3713.66,3715.95,3712.88,3714.43,1680
1758526800,3714.33,3714.95,3712.47,3714.2,1382
1758527100,3714.27,3715.24,3713.24,3713.36,1212
1758527400,3713.52,3714.75,3712.77,3713.73,1217
1758527700,3713.73,3714.61,3713.11,3713.25,1120
1758528000,3712.91,3717.16,3712.35,3717.16,1655
1758528300,3717.21,3719.55,3715.6,3718.38,1771
1758528600,3718.15,3718.87,3716.96,3717.22,1464
1758528900,3717.22,3719.34,3716.08,3716.5,1445
1758529200,3716.53,3718.29,3716.2,3718.2,1422
1758529500,3718.18,3720.04,3717.69,3717.81,1658
1758529800,3717.8,3719.81,3717.69,3718.65,1461
1758530100,3718.68,3720.09,3718.27,3718.72,1312
1758530400,3718.72,3722.38,3718.72,3722.12,1238
1758530700,3722.14,3722.45,3720.63,3720.75,1651
1758531000,3720.71,3721.74,3719.72,3721.7,1725
1758531300,3721.64,3721.74,3720.09,3720.33,1457
1758531600,3720.38,3721.8,3719.17,3720.08,1605
1758531900,3720.05,3721.67,3719.98,3721.45,1250
1758532200,3721.45,3721.8,3720.28,3720.46,1494
1758532500,3720.5,3724.23,3720.29,3724.23,1344
1758532800,3724.32,3726.59,3723.26,3724.59,1369
1758533100,3724.61,3726.29,3724.25,3725.25,1419
1758533400,3725.23,3725.62,3721.06,3722.41,1650
1758533700,3722.46,3722.67,3721.2,3721.49,1561
1758534000,3721.47,3721.98,3720.63,3721.11,1424
1758534300,3720.98,3723.28,3720.88,3722.67,1304
1758534600,3722.74,3724.32,3722.74,3724.1,1265
1758534900,3724.12,3725.07,3722.96,3723.23,1494
1758535200,3723.25,3723.82,3722.26,3722.86,1351
1758535500,3722.95,3723.51,3721.03,3723.47,1405
1758535800,3723.51,3724.2,3722.6,3723.03,1287
1758536100,3722.96,3724.74,3722.96,3724.48,1307
1758536400,3724.25,3727.27,3723.99,3726.73,1536
1758536700,3726.74,3727.05,3725.1,3725.17,1272
1758537000,3725.17,3726.12,3724.73,3725.05,1163
1758537300,3724.95,3725.55,3723.22,3723.45,1249
